Race,Gender,Ethnicity,BeginDate,EndDate,LOS,AA,Wellness,SSM,VITotal,VIFamily,VISingle,VIHistory,VIRisk,VIDaily,VIWellness,VIFamilyUnit,Outcome,HousingPlacement,Family,JobPlacement,JobTraining,CriminalHistory,Issues,ChronicHomeless,CaseMgmt,PartnerServices,Recidivism,AgeEntry,AgeExit,IssueScore,CrimeScore,Exit,EarnedExit,BenefitsExit,PSH,HPOutcome
0,0,0,12/26/2013,1/3/2014,8,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,1,0,0,1,30,30,35,0,0,0,0,0,0
1,1,0,9/2/2010,9/9/2010,7,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0
1,0,0,11/24/2010,11/4/2011,345,0,0,32,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,0,0,0,0,0,0,1,10,0,56,57,0,0,0,0,0,0,1
0,0,1,12/16/2010,12/1/2011,350,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,0,0,0,1,0,0,12,1,26,27,10,0,0,0,0,0,1
0,1,0,8/20/2010,3/1/2011,193,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,1,0,0,0,0,0,2,1,34,35,0,0,0,0,0,0,0
1,1,0,8/20/2010,1/31/2011,164,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,2,0,36,37,0,0,300,300,0,0,0
0,0,0,8/25/2010,10/4/2010,40,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,1,0,4,1,37,37,24,3,150,150,0,0,0
0,0,0,8/11/2010,4/9/2012,607,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,0,1,0,1,0,2,8,0,22,23,10,0,200,0,0,0,1
0,1,1,8/11/2010,9/26/2011,411,0,0,28,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,0,0,0,1,0,0,24,0,23,24,4,0,500,500,0,0,1
1,0,0,8/11/2010,6/6/2011,299,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,0,1,0,0,0,0,0,0,6,0,22,23,0,0,128,0,0,0,1
0,1,0,8/11/2010,2/10/2012,548,0,0,30,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,1,1,0,1,0,0,31,1,51,53,17,0,1420,1420,0,0,1
0,1,0,8/11/2010,12/15/2012,857,1,0,26,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,1,0,0,1,0,27,22,0,52,54,3,0,1500,1500,1,1,1
0,1,1,8/14/2010,3/28/2011,226,1,0,33,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,0,0,1,1,0,0,3,0,44,45,5,2,1200,1200,0,0,1
0,0,1,8/12/2010,8/18/2010,6,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0
0,0,1,8/12/2010,9/3/2010,22,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,0,0,46,46,7,0,0,0,0,0,0
0,1,0,8/12/2010,10/1/2010,50,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0
1,1,0,5/13/2011,5/27/2011,14,0,0,32,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,1,0,58,58,0,0,0,0,0,0,0
1,1,0,12/6/2010,2/7/2012,428,0,0,16,-99,-99,-99,-99,-99,-99,-99,-99,1,1,0,0,1,0,1,0,0,38,0,56,57,16,0,698,0,0,0,1
0,1,1,6/6/2012,6/14/2012,8,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,0,0,0,0,0,1,0,0,0,1,55,55,17,0,1108,0,0,1,1
0,0,0,8/16/2010,12/3/2010,109,0,0,35,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0
0,0,1,8/16/2010,6/16/2011,304,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,0,1,0,1,0,2,6,0,27,28,1,0,0,0,0,0,1
0,1,1,8/16/2010,9/8/2010,23,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0
0,0,1,8/16/2010,9/3/2010,18,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0
0,1,1,8/17/2010,10/13/2010,57,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,0,0,51,51,12,0,0,0,0,0,0
0,0,1,8/17/2010,12/7/2010,112,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,1,0,0,0,1,25,25,4,0,0,0,0,0,0
0,1,1,8/17/2010,9/9/2010,23,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,1,1,0,0,0,1,25,25,24,3,0,0,0,0,0
0,0,1,8/17/2010,9/7/2010,21,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,1,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0
0,1,1,7/15/2011,8/24/2011,40,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,0,0,0,1,0,0,2,0,40,40,8,0,0,0,0,0,0
1,1,0,4/30/2012,9/1/2012,124,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,0,0,0,0,0,1,1,0,12,1,51,51,4,0,0,0,0,0,1
